Ko,Beta_max,Em,SL/C,SU/C
0.0024069594466505605,0.0246147,0.0021937440084665665,-0.00347256,0.0133931
0.0037470257064382657,0.0910423,0.005416970840925933,-0.0034004,0.0137674
0.005802611753113361,0.1817718,0.021415417920880336,-0.00813927,0.0137669
0.00894212842497028,0.2826752,0.045784363117462944,-0.0126582,0.0139323
0.013718377028801736,0.3838941,0.08067312087696621,-0.017291,0.0304466
0.020937313093319566,0.4817472,0.12638798381597316,-0.0227544,0.0304198
0.031812192095230674,0.5720085,0.17996958443991218,-0.0252879,0.0538526
0.04813460913475229,0.6569734,0.233687526830672,-0.0280953,0.0595264
0.0725543424810516,0.7280081,0.3146855049263822,-0.0312383,0.101861
0.1087308507001538,0.7927436,0.38859587428999837,-0.0315062,0.104093
0.1620461426363195,0.838287,0.4853012468012022,-0.050839,0.126381
0.24032157525387352,0.8760037,0.5583872238637304,-0.0511982,0.148063
0.35428713046111887,0.9071703,0.6364894953832977,-0.0597318,0.183819
0.5188611739841036,0.9254277,0.7162223958963666,-0.0735016,0.21137
0.756343070138835,0.9390948,0.7747510922379465,-0.0739255,0.237391
1.0953409706236603,0.9528044,0.8266275147247373,-0.0738222,0.254876
1.5766134084114374,0.963079,0.8757663420915301,-0.0742339,0.280935
2.2596765380871826,0.9670288,0.9173244758511054,-0.0737943,0.303617
3.204271645647872,0.9713643,0.9563196168989025,-0.0739095,0.317599
4.51697863837909,0.975496,0.9998928302328127,-0.0738037,0.351223
